Customer No.,PO Number,SO Number,Invoice Number,Part Number,Model Number,Serial Number,Ship Date (dd/mm/yyyy)
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700075",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700078",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700083",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700084",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006518-50","AT-x530L-52GTX-50","A10237A254700089",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008194-E01","AT-SBx908 GEN3-E01","A10640A261900014",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-004783-E51","AT-SBxPWRSYS2-E51","A051814244500001",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-004783-E51","AT-SBxPWRSYS2-E51","A051814244500017",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008112-E01","AT-XEM3-12YS-E01","A10599A254100022",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008112-E01","AT-XEM3-12YS-E01","A10599A254100026",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008112-E01","AT-XEM3-12YS-E01","A10599A254100041",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008112-E01","AT-XEM3-12YS-E01","A10599A260500056",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008112-E01","AT-XEM3-12YS-E01","A10599A260500059",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008102-E01","AT-XEM3-12XTm-E01","A10583A254800054",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-008102-E01","AT-XEM3-12XTm-E01","A10583A260500055",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600010",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600014",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600015",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600018",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600019",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600021",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600026",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600030",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600031",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600048",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600057",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600058",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234A261600063",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234G244200416",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234G244200420",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234G244200428",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234G244200437",17/06/26
"80001527","DSN26-005P","SO260392","2026/SGSI000001138","990-006428-50","AT-x530L-28GTX-50","A10234G244200455",17/06/26
"80000046","3000163072","SO260690","2026/SGSI000001143","990-007597-40","AT-x330-52GTX-40","A10392G241100037",17/06/26
